"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-01","0.2"," 0106"," 0103","0.0","0.0","0.0","-3.9","8.3","-3.9",,"  190","  190","0.0","3.1","3.6","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-02","6.1"," 1504"," 1503","4.6","0.0","0.0","8.3","13.9","2.8",,"  230","  230","0.0","13.0","14.8","    1",,"    1",,,,,"    1",,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-03","4.2"," 1648"," 1647","6.9","0.0","0.0","5.0","9.4","0.0",,"  100","  110","0.0","8.9","11.2","    1","    1",,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-04","6.9"," 0621"," 0541","1.0","3.0","0.0","3.9","9.4","-2.2",,"  260","  250","0.0","16.1","19.2","    1","    1",,,,,,,,,,"    1","    1",,"    1",,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-05","4.2"," 2009"," 2018","0.0","0.0","0.0","-2.8","-1.1","-5.0",,"  200","  200","0.0","8.9","9.8",,,,,,,,,,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-06","6.2"," 1344"," 1356","0.0","0.0","0.0","0.6","3.3","-2.2",,"  240","  240","0.0","9.8","11.2",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-07","4.9"," 1211"," 1210","0.5","5.0","0.0","-2.2","1.7","-6.7",,"  310","  320","0.0","8.9","10.7","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-08","6.7"," 1419"," 1510","0.0","0.0","0.0","0.6","7.8","-7.2",,"  230","  230","0.0","13.0","14.8",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-09","2.8"," 0018"," 0022","3.6","0.0","0.0","2.8","3.9","1.7",,"  230","  230","0.0","9.8","11.2","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-10","7.5"," 1345"," 1344","3.0","0.0","0.0","6.1","9.4","2.2",,"  260","  260","0.0","14.8","19.2","    1","    1","    1",,,,,,,,,"    1","    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-11","7.5"," 1402"," 1402","0.0","0.0","0.0","2.2","4.4","0.0",,"  290","  290","0.0","12.5","15.2",,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-12","3.2"," 2339"," 2237","0.0","0.0","0.0","-0.6","1.1","-2.8",,"   40","   50","0.0","8.9","10.3",,,,,,,,,,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-13","5.3"," 0905"," 0902","4.8","79.0","76.0","-6.7","-2.2","-11.7",,"   20","   30","5.1","11.2","13.9","    1","    1",,,,,,"    1","    1",,,"    1",,,,,"    1",,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-14","3.4"," 0918"," 0917","0.0","0.0","76.0","-10.0","-5.0","-15.0",,"  280","  270","5.1","6.3","7.2",,,,,,,,,,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-15","4.7"," 2138"," 2348","0.0","0.0","0.0","-2.2","1.1","-6.1",,"  210","  230","0.0","6.7","8.0",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-16","6.7"," 0913"," 0913","0.0","0.0","0.0","-3.3","3.3","-10.0",,"  350","  340","0.0","12.5","14.8",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-17","3.3"," 1316"," 1128","0.0","3.0","51.0","-11.1","-9.4","-13.3",,"   80","  110","0.0","6.3","7.6",,,,,,,,,,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-18","4.0"," 2304"," 2303","1.3","25.0","76.0","-6.1","-2.8","-9.4",,"  320","  310","5.1","9.4","12.5","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-19","3.1"," 0125"," 0101","1.5","25.0","76.0","-6.1","-3.3","-8.9",,"  320","  310","5.1","7.2","9.4","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-20","4.2"," 1044"," 1145","1.3","28.0","102.0","-7.8","-4.4","-11.7",,"  360","  340","10.2","9.8","11.2","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-21","3.5"," 1601"," 1546","0.0","0.0","76.0","-12.2","-8.9","-15.6",,"  330","  330","10.2","7.6","9.8","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-22","2.4"," 2133"," 1648","0.8","15.0","102.0","-13.3","-7.8","-18.9",,"  170","  150","7.6","4.9","6.7","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-23","5.9"," 1402"," 1334","0.0","0.0","102.0","-3.9","0.0","-7.8",,"  240","  270","15.2","10.7","13.0","    1",,,,,"    1",,,,,,"    1",,"    1","    1",,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-24","4.0"," 0109"," 1533","0.0","3.0","76.0","-11.1","-7.2","-15.6",,"  250","  250","10.2","6.3","7.2","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-25","3.9"," 2309"," 2142","0.3","23.0","102.0","-11.7","-6.1","-17.8",,"  350","  340","10.2","10.3","13.4","    1",,,,,,,,"    1",,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-26","5.1"," 0033"," 0530","0.0","0.0","102.0","-11.7","-8.3","-15.0",,"  340","  330","12.7","8.9","10.3",,,,,,,,,,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-27","4.4"," 1214"," 1328","0.0","0.0","102.0","-11.7","-8.3","-15.6",,"  330","  330","0.0","7.2","8.0",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-28","2.3"," 1318"," 1317","0.0","0.0","76.0","-7.2","-1.1","-13.3",,"  320","  320","10.2","5.8","7.2",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-29","2.7"," 2235"," 2217","0.0","0.0","51.0","-7.2","-1.7","-13.3",,"   80","   90","5.1","7.2","9.4","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-30","3.5"," 2044"," 2341","3.3","36.0","76.0","-2.8","-0.6","-5.6",,"  240","  260","7.6","7.6","8.9","    1",,,,,,,,,,,"    1",,,,,"    1",,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-01-31","7.0"," 1555"," 1556","0.0","0.0","51.0","-3.9","-0.6","-7.2",,"  240","  240","7.6","13.0","13.9","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-01","5.8"," 1214"," 1210","0.0","0.0","51.0","-3.3","-1.1","-6.1",,"  320","  320","5.1","11.2","13.0","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-02","4.0"," 2135"," 2135","0.0","0.0","51.0","-7.2","-2.8","-11.7",,"  220","  220","0.0","8.0","9.4",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-03","3.6"," 0014"," 0121","2.3","41.0","76.0","-1.7","1.1","-4.4",,"  220","  250","5.1","8.0","9.8","    1",,,,,,,,,,,"    1","    1",,"    1",,"    1",,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-04","3.7"," 1508"," 1829","1.5","18.0","102.0","-2.8","1.1","-7.2",,"   10","   20","12.7","7.2","8.9","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-05","6.2"," 1540"," 1544","0.0","0.0","102.0","-5.6","1.1","-12.2",,"  250","  260","10.2","11.6","13.9",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-06","4.2"," 1532"," 1532","0.0","0.0","102.0","-6.7","-1.1","-12.2",,"  230","  230","10.2","9.4","10.7","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-07","3.7"," 0540"," 0545","0.0","0.0","102.0","-3.3","2.2","-8.9",,"  290","  290","7.6","7.6","9.8","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-08","2.7"," 1627"," 1557","0.0","0.0","76.0","-7.2","-1.7","-13.3",,"  210","  200","0.0","6.7","7.6","    1",,,,,,,,,,,"    1",,,,,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-09","5.1"," 1014"," 0946","0.0","0.0","76.0","1.1","6.7","-4.4",,"  240","  240","20.3","9.4","11.2",,,,,,,,"    1",,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-10","3.4"," 0847"," 0838","0.0","0.0","25.0","1.1","2.2","0.0",,"   90","   90","0.0","6.7","8.9","    1",,,,,"    1",,"    1",,,,"    1","    1",,"    1","    1",,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-11","4.2"," 0557"," 0556","0.0","0.0","25.0","-3.3","0.0","-7.2",,"   20","   20","0.0","8.9","10.7","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-12","2.6"," 1228"," 1323","0.0","0.0","25.0","-6.1","-2.8","-9.4",,"  180","  150","0.0","6.3","7.2",,,,,,,,,,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-13","3.6"," 2348"," 2319","1.3","33.0","25.0","-2.8","-0.6","-5.0",,"   60","   30","0.0","6.7","8.0","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-14","4.9"," 0757"," 0756","0.5","13.0","51.0","-3.9","-0.6","-7.8",,"   20","   30","2.5","8.0","9.8","    1",,,,,,,"    1",,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-15","4.2"," 1640"," 1633","0.0","0.0","51.0","-4.4","1.1","-10.0",,"  190","  170","5.1","9.4","11.2","    1",,,"    1","    1",,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-16","5.7"," 1031"," 0818","0.0","0.0","25.0","0.0","4.4","-4.4",,"  330","  330","0.0","9.4","11.6",,,,,,,,"    1",,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-17","2.7"," 2120"," 2120","0.0","0.0","0.0","-5.0","-1.7","-8.3",,"  110","  110","0.0","7.2","9.8",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-18","5.7"," 1539"," 1556","5.6","91.0","76.0","-2.8","-1.1","-4.4",,"   50","   40","5.1","9.8","11.2","    1","    1",,,,,,,"    1",,,"    1",,,,,"    1",,,"    1"
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-19","4.6"," 2216"," 2216","0.5","10.0","102.0","-2.8","-1.1","-4.4",,"  260","  260","12.7","8.0","9.8","    1",,,,,,,,,,,"    1",,,,,"    1","    1",,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-20","5.1"," 0221"," 0220","0.0","0.0","102.0","-2.2","0.6","-5.0",,"  260","  250","10.2","8.9","10.7",,,,,,,,,,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-21","4.1"," 1548"," 1546","0.0","0.0","102.0","-2.2","5.6","-10.0",,"  230","  230","10.2","8.9","9.8","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-22","4.8"," 1433"," 1432","0.0","0.0","51.0","6.1","11.1","1.1",,"  210","  210","0.0","8.9","10.3",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-23","4.1"," 1335"," 1112","0.0","0.0","0.0","10.6","16.7","4.4",,"  240","  240","0.0","7.6","9.4",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-24","3.5"," 1226"," 1205","3.8","0.0","0.0","10.0","13.3","6.1",,"  190","  180","0.0","7.6","9.4","    1",,,,,,,,,,,"    1",,,"    1",,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-25","2.6"," 0704"," 0222","0.0","0.0","0.0","10.0","14.4","5.6",,"  270","  250","0.0","4.5","5.8","    1","    1",,,,,,"    1",,,,"    1",,,,,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-26","4.2"," 1221"," 1221","0.0","0.0","0.0","13.9","20.6","7.2",,"  220","  220","0.0","11.2","13.4","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-27","6.7"," 1010"," 1022","5.8","0.0","0.0","8.3","12.8","3.9",,"  250","  260","0.0","13.9","16.1","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-28","3.7"," 1155"," 1430","0.0","0.0","0.0","5.0","11.1","-1.7",,"  300","  300","0.0","8.9","10.3",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-02-29","3.4"," 1507"," 1541","0.0","0.0","0.0","6.7","13.3","-0.6",,"  190","  180","0.0","7.6","9.4",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-01","7.5"," 1304"," 1433","0.0","0.0","0.0","8.9","13.9","3.3",,"  280","  310","0.0","13.9","16.5",,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-02","5.1"," 1006"," 0807","0.0","0.0","0.0","2.2","5.0","-0.6",,"  330","  340","0.0","10.3","13.0",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-03","1.8"," 1622"," 1303","0.0","0.0","0.0","2.8","10.0","-4.4",,"  300","  270","0.0","4.9","6.7",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-04","3.8"," 1615"," 1615","0.0","0.0","0.0","5.6","14.4","-3.9",,"  260","  260","0.0","9.8","12.5",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-05","2.7"," 2025"," 2024","0.0","0.0","0.0","8.3","16.1","0.6",,"   80","   80","0.0","5.8","7.2",,,,,,,,"    1",,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-06","2.1"," 1540"," 1533","0.0","0.0","0.0","7.2","13.3","1.1",,"  160","  140","0.0","4.9","7.2",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-07","4.5"," 1720"," 1705","0.0","0.0","0.0","13.9","24.4","2.8",,"  270","  260","0.0","10.7","13.4",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-08","6.3"," 1642"," 1504","0.0","0.0","0.0","20.0","26.7","13.3",,"  220","  230","0.0","12.5","14.3","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-09","8.9"," 1228"," 1423","0.0","0.0","0.0","9.4","19.4","-1.1",,"  260","  280","0.0","14.3","17.4","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-10","3.8"," 0305"," 0304","0.0","0.0","0.0","-1.1","1.1","-3.3",,"   30","   30","0.0","6.7","8.0",,,,,,,,,,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-11","5.3"," 1305"," 1942","1.8","28.0","25.0","-2.2","0.0","-5.0",,"   30","   20","0.0","8.9","9.8","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-12","4.6"," 1407"," 1331","0.0","0.0","25.0","1.7","6.1","-3.3",,"  330","  320","0.0","8.0","10.7","    1",,,,,,,,,,,"    1",,,,,"    1","    1",,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-13","4.9"," 1527"," 1527","0.0","0.0","0.0","2.8","7.8","-2.8",,"  220","  220","0.0","13.9","16.5","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-14","5.1"," 1500"," 1555","0.0","0.0","0.0","6.7","12.2","0.6",,"  260","  280","0.0","9.4","11.6","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-15","4.6"," 1533"," 1530","5.6","0.0","0.0","10.6","15.0","5.6",,"  230","  230","0.0","9.8","11.2","    1",,,,,,,"    1",,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-16","6.4"," 0211"," 0210","3.0","0.0","0.0","3.9","10.6","-3.3",,"  360","   10","0.0","10.7","13.4","    1",,,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-17","5.0"," 0924"," 0921","0.0","0.0","0.0","-1.1","2.2","-4.4",,"   30","   30","0.0","9.4","11.2",,,,,,,,,,,,,,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-18","3.8"," 0948"," 0935","0.0","0.0","0.0","0.0","4.4","-5.0",,"  150","  120","0.0","7.6","9.4",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-19","3.3"," 1214"," 1124","6.4","0.0","0.0","4.4","7.2","1.1",,"  120","  120","0.0","5.8","7.2","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-20","4.2"," 1115"," 1317","8.9","0.0","0.0","7.2","8.3","5.6",,"  120","  110","0.0","7.6","9.4","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-21","1.9"," 1534"," 1534","0.0","0.0","0.0","7.2","8.9","5.0",,"  110","  120","0.0","4.5","5.8","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-22","1.6"," 1435"," 1434","0.0","0.0","0.0","7.8","14.4","1.1",,"  270","  290","0.0","4.5","5.8","    1","    1",,,,,,"    1",,,,"    1",,,,,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-23","1.2"," 1603"," 1602","0.0","0.0","0.0","10.6","17.2","3.9",,"  150","  150","0.0","4.9","6.3","    1",,,,,,,"    1",,,,"    1",,,,,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-24","3.6"," 1708"," 1231","3.6","0.0","0.0","12.2","18.9","5.6",,"  150","  150","0.0","7.6","9.8","    1",,"    1",,,,,"    1",,,,"    1",,,"    1",,,,"    1",
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-25","7.2"," 1708"," 1701","0.0","0.0","0.0","14.4","18.9","9.4",,"  280","  270","0.0","13.9","17.0","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-26","4.7",,,"0.0","0.0","0.0",,"15.6","5.0",,"  250","  290","0.0","7.6","10.3",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-27","6.3",,,"5.1","0.0","0.0",,"12.8","3.9",,"  260","  280","0.0","11.6","15.6","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-28","3.6",,,"5.1","0.0","0.0",,"12.2","2.2",,"  330","  350","0.0","8.0","9.4","    1",,"    1",,,,,,,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-29","6.8",,,"0.0","0.0","0.0",,"10.6","2.2",,"  290","  300","0.0","10.3","13.0",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-30","3.0"," 0011"," 1306","0.0","0.0","0.0","7.2","12.8","1.7",,"  310","  310","0.0","6.7","8.0",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-03-31","2.6"," 1653"," 1610","0.0","0.0","0.0","8.3","16.1","0.0",,"  310","  300","0.0","5.8","7.2",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-01","4.0"," 1504"," 1503","0.0","0.0","0.0","10.6","18.3","2.2",,"  240","  240","0.0","8.9","10.3",,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-02","1.9"," 1859"," 1858","0.3","0.0","0.0","11.7","13.9","8.9","    0","  190","  190","0.0","6.3","6.7",,,,,,,,"    1",,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-03","3.1"," 2148"," 2147","0.3","0.0","0.0","12.8","17.2","8.3",,"  310","  320","0.0","6.3","7.2","    1",,,,,,,"    1",,,,"    1","    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-04","6.7"," 1418"," 1417","2.3","0.0","0.0","5.0","10.0","0.0",,"  310","  300","0.0","12.5","15.6",,,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-05","5.1"," 1836"," 1835","0.0","0.0","0.0","5.0","12.2","-2.2",,"  220","  230","0.0","10.7","16.5",,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-06","7.9"," 0848"," 0847","0.0","0.0","0.0","9.4","14.4","3.9",,"  290","  290","0.0","15.6","19.2",,,,,,,,,,,,,,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-07","4.9"," 1752"," 1613","6.1","0.0","0.0","6.1","10.0","2.2",,"   50","   90","0.0","9.4","13.0","    1",,,,,,,,,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-08","6.6"," 1103"," 1105","3.8","13.0","0.0","2.2","4.4","-0.6",,"  360","   10","0.0","11.6","14.8","    1",,,,,,,,"    1",,,"    1",,,"    1",,"    1","    1",,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-09","5.4"," 1813"," 1703","0.3","0.0","0.0","4.4","11.1","-2.8",,"  330","  310","0.0","13.0","15.6","    1",,,,,,,,,,,"    1",,,,,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-10","3.5"," 0916"," 0827","0.0","0.0","0.0","2.8","7.2","-1.7",,"  340","  330","0.0","6.7","8.0",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-11","4.0"," 1446"," 1409","3.0","3.0","0.0","1.7","3.9","-1.1",,"   40","   40","0.0","6.7","8.0","    1",,,,,,,,,,,"    1","    1",,"    1",,"    1",,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-12","3.0"," 1408"," 1408","0.0","0.0","0.0","3.3","8.3","-1.7",,"  330","  340","0.0","6.7","10.7","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-13","3.2"," 1117"," 1105","0.0","0.0","0.0","5.6","10.0","1.1",,"  180","  180","0.0","7.2","9.4",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-14","4.1"," 1749"," 1615","0.0","0.0","0.0","12.2","23.3","1.1",,"  220","  210","0.0","9.8","11.6",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-15","4.4"," 1727"," 1318","0.0","0.0","0.0","17.8","25.6","10.0",,"  260","  240","0.0","7.6","10.3","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-16","4.3"," 1904"," 0437","0.0","0.0","0.0","11.1","15.0","6.7",,"   60","   20","0.0","7.2","9.8","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-17","5.3"," 1146"," 1152","0.5","0.0","0.0","7.8","9.4","6.1",,"   60","   50","0.0","9.4","10.3","    1",,,,,,,"    1",,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-18","2.7"," 1845"," 1845","0.0","0.0","0.0","10.6","15.6","5.6",,"  180","  180","0.0","5.4","6.3","    1",,,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-19","2.3"," 1953"," 1715","0.3","0.0","0.0","10.6","14.4","6.1","    0","   70","  150","0.0","5.4","7.2","    1",,,,,,,"    1",,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-20","5.3"," 1537"," 1536","90.9","0.0","0.0","11.1","12.8","8.9","    0","  310","  300","0.0","11.6","15.6","    1",,"    1",,,,,"    1",,,,"    1",,,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-21","3.9"," 1801"," 1801","2.8","0.0","0.0","8.9","11.7","5.6",,"   10","   10","0.0","8.0","9.8","    1",,,,,,,,,,,"    1","    1",,"    1",,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-22","3.3"," 1642"," 1747","0.0","0.0","0.0","10.0","14.4","5.6",,"   20","   30","0.0","6.3","7.6","    1",,,,,,,,,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-23","1.7"," 1400"," 1452","0.0","0.0","0.0","10.0","17.2","2.8","    0","  130","  140","0.0","5.4","6.3","    1","    1",,,,,,"    1",,,,"    1",,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-24","4.7"," 1730"," 2037","0.0","0.0","0.0","12.8","18.3","6.7",,"   40","   50","0.0","9.4","11.2",,,,,,,,,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2000-04-25","5.1"," 1830"," 1748","0.0","0.0","0.0","10.6","16.1","5.0",,"   30","   30","0.0","8.9","10.7",,,,,,,,,,,,,,,,,,,,
